PRICE,BEDS,BATH,PROPERTYSQFT,TYPE_Condo for sale,TYPE_House for sale,TYPE_Land for sale,TYPE_Multi-family home for sale,TYPE_Townhouse for sale,SUBLOCALITY_Kings County,SUBLOCALITY_Manhattan,SUBLOCALITY_New York,SUBLOCALITY_Queens,SUBLOCALITY_Richmond County,SUBLOCALITY_Staten Island,SUBLOCALITY_The Bronx
315000,2,2.0,1400.0,True,False,False,False,False,False,True,False,False,False,False,False
260000,4,2.0,2015.0,False,True,False,False,False,False,False,False,False,True,False,False
69000,3,1.0,445.0,True,False,False,False,False,False,False,True,False,False,False,False
55000000,7,2.3738608579684373,14175.0,False,False,False,False,True,False,False,True,False,False,False,False
690000,5,2.0,4004.0,False,True,False,False,False,True,False,False,False,False,False,False
899500,2,2.0,2184.207862,True,False,False,False,False,False,False,True,False,False,False,False
440000,2,1.0,978.0,False,False,False,False,False,False,False,False,False,False,False,False
375000,2,1.0,850.0,False,False,False,False,False,False,False,False,False,False,False,True
689000,3,2.3738608579684373,1162.0,False,False,False,False,True,False,False,False,False,True,False,False
259000,3,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
430000,2,2.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
895000,3,1.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
549000,2,2.0,1000.0,True,False,False,False,False,False,False,False,False,False,True,False
975000,3,2.0,1734.0,False,False,False,False,True,False,False,False,True,False,False,False
199000,3,1.0,325.0,False,False,False,False,False,False,False,False,False,False,False,False
350000,1,1.0,700.0,False,False,False,False,False,False,False,False,False,False,False,True
599000,2,2.0,974.0,True,False,False,False,False,False,False,False,True,False,False,False
639999,3,2.0,1260.0,False,True,False,False,False,False,False,False,False,True,False,False
1300000,2,2.0,1244.0,True,False,False,False,False,False,False,False,True,False,False,False
1100000,6,3.0,2837.0,False,False,False,True,False,False,False,False,False,False,False,True
349900,1,1.0,651.0,True,False,False,False,False,False,False,False,False,False,True,False
750000,2,2.0,1330.0,False,True,False,False,False,False,False,False,False,True,False,False
1690000,6,4.0,2200.0,False,False,False,True,False,False,False,False,True,False,False,False
325000,1,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
230000,1,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
925000,5,2.0,2750.0,False,False,False,True,False,False,False,False,False,False,False,True
329000,1,2.0,794.0,True,False,False,False,False,False,False,False,False,True,False,False
848000,5,4.0,2080.0,False,False,False,True,False,True,False,False,False,False,False,False
